Speech Event	T>10	Av. T	NN>10	Av. NN	ADJ>10	Av. ADJ
FOLK_E_00001_SE_01	433	4,82	260	8,00	77	8,13	
FOLK_E_00002_SE_01	84	4,52	51	6,07	11	6,20	
FOLK_E_00003_SE_01	224	4,65	92	7,97	56	8,69	
FOLK_E_00004_SE_01	505	4,53	306	8,26	79	7,63	
FOLK_E_00005_SE_01	349	4,66	223	7,72	46	7,53	
FOLK_E_00006_SE_01	379	4,77	205	7,96	75	8,65	
FOLK_E_00007_SE_01	478	4,50	251	8,19	86	8,13	
FOLK_E_00008_SE_01	384	4,74	239	7,94	55	7,70	
FOLK_E_00009_SE_01	272	4,60	137	7,47	55	7,99	
FOLK_E_00010_SE_01	101	4,03	52	6,00	4	5,57	
FOLK_E_00011_SE_01	916	4,22	326	6,58	24	5,96	
FOLK_E_00012_SE_01	61	3,78	8	4,97	2	5,49	
FOLK_E_00013_SE_01	93	4,19	65	6,19	14	6,49	
FOLK_E_00014_SE_01	77	4,20	55	6,15	5	6,11	
FOLK_E_00015_SE_01	423	4,60	234	8,17	86	8,05	
FOLK_E_00016_SE_01	90	4,45	43	5,69	3	6,08	
FOLK_E_00017_SE_01	33	4,39	23	5,83	2	5,98	
FOLK_E_00018_SE_01	119	4,08	62	6,56	10	6,17	
FOLK_E_00020_SE_01	108	3,96	54	6,69	11	6,14	
FOLK_E_00021_SE_01	1472	4,24	583	6,70	122	6,32	
FOLK_E_00022_SE_01	469	4,08	188	6,61	57	6,56	
FOLK_E_00024_SE_01	857	4,12	425	6,87	90	6,55	
FOLK_E_00026_SE_01	859	4,21	365	6,79	101	6,73	
FOLK_E_00027_SE_01	169	4,32	100	7,67	25	6,88	
FOLK_E_00028_SE_01	381	4,91	191	9,23	105	9,88	
FOLK_E_00029_SE_01	65	4,29	29	7,65	21	8,51	
FOLK_E_00030_SE_01	338	4,12	173	6,26	34	6,17	
FOLK_E_00031_SE_01	110	4,29	67	8,44	27	7,92	
FOLK_E_00032_SE_01	331	5,17	173	9,34	111	10,11	
FOLK_E_00033_SE_01	355	4,90	201	8,83	94	9,33	
FOLK_E_00034_SE_01	374	5,08	169	8,88	128	10,42	
FOLK_E_00035_SE_01	333	5,05	167	8,81	98	9,45	
FOLK_E_00036_SE_01	377	5,09	147	8,36	101	9,74	
FOLK_E_00037_SE_01	361	5,32	200	9,47	86	9,25	
FOLK_E_00038_SE_01	295	5,12	155	9,46	73	9,44	
FOLK_E_00039_SE_01	168	3,99	93	6,75	18	6,22	
FOLK_E_00040_SE_01	229	4,19	69	6,03	31	6,59	
FOLK_E_00042_SE_01	415	4,17	193	6,78	71	7,10	
FOLK_E_00043_SE_01	72	4,24	31	6,53	14	6,82	
FOLK_E_00044_SE_01	248	4,36	107	6,95	35	7,64	
FOLK_E_00045_SE_01	125	4,06	42	6,29	7	5,81	
FOLK_E_00046_SE_01	235	4,26	113	6,92	25	6,65	
FOLK_E_00047_SE_01	244	4,17	135	7,09	37	6,45	
FOLK_E_00048_SE_01	336	4,07	117	6,58	42	6,39	
FOLK_E_00049_SE_01	173	4,15	96	6,87	23	6,64	
FOLK_E_00050_SE_01	75	4,21	32	6,78	15	6,69	
FOLK_E_00052_SE_01	118	4,21	57	6,88	14	6,32	
FOLK_E_00053_SE_01	78	4,13	20	6,17	14	6,46	
FOLK_E_00055_SE_01	727	4,09	332	6,78	113	6,62	
FOLK_E_00056_SE_01	447	4,71	219	9,02	137	9,36	
FOLK_E_00057_SE_01	607	4,70	297	8,95	177	9,13	
FOLK_E_00058_SE_01	543	4,62	236	7,92	109	8,38	
FOLK_E_00059_SE_01	528	4,61	266	8,18	130	8,67	
FOLK_E_00060_SE_01	347	4,65	186	8,52	85	8,88	
FOLK_E_00061_SE_01	276	4,69	158	8,00	59	8,40	
FOLK_E_00062_SE_01	324	4,99	163	8,44	67	8,84	
FOLK_E_00064_SE_01	3778	5,08	2096	8,22	661	8,30	
FOLK_E_00066_SE_01	812	4,20	410	6,91	120	6,72	
FOLK_E_00068_SE_01	4052	5,07	2088	8,13	689	8,34	
FOLK_E_00069_SE_01	3716	4,98	2143	8,46	575	8,12	
FOLK_E_00070_SE_01	4350	5,08	2315	8,54	802	8,55	
FOLK_E_00074_SE_01	235	4,27	107	7,76	43	7,72	
FOLK_E_00076_SE_01	78	4,63	30	6,53	17	6,72	
FOLK_E_00077_SE_01	107	4,18	38	6,25	26	7,06	
FOLK_E_00079_SE_01	97	4,20	41	6,60	21	6,77	
FOLK_E_00080_SE_01	64	4,17	24	7,02	13	6,93	
FOLK_E_00081_SE_01	37	4,20	17	7,60	5	6,38	
FOLK_E_00082_SE_01	303	4,23	118	7,01	26	6,95	
FOLK_E_00083_SE_01	151	4,51	86	7,40	20	7,06	
FOLK_E_00084_SE_01	298	4,08	120	6,62	48	6,24	
FOLK_E_00085_SE_01	15	4,08	7	6,76	1	6,00	
FOLK_E_00086_SE_01	55	4,25	27	6,81	6	6,27	
FOLK_E_00087_SE_01	31	3,96	10	6,33	6	6,42	
FOLK_E_00088_SE_01	141	4,35	73	7,68	13	7,17	
FOLK_E_00089_SE_01	58	4,16	33	6,93	1	5,66	
FOLK_E_00090_SE_01	46	4,11	29	6,80	3	6,29	
FOLK_E_00091_SE_01	51	4,30	33	7,22	4	6,59	
FOLK_E_00092_SE_01	43	4,00	15	6,91	7	6,60	
FOLK_E_00093_SE_01	78	4,28	41	7,17	18	7,14	
FOLK_E_00094_SE_01	59	4,20	38	7,26	8	6,94	
FOLK_E_00095_SE_01	35	4,23	13	6,75	5	6,47	
FOLK_E_00096_SE_01	17	4,51	9	7,27	2	6,91	
FOLK_E_00097_SE_01	35	4,08	17	6,44	4	6,82	
FOLK_E_00098_SE_01	23	4,23	17	6,57	0	6,91	
FOLK_E_00099_SE_01	33	3,95	15	5,87	1	5,53	
FOLK_E_00100_SE_01	99	4,21	37	6,81	20	6,63	
FOLK_E_00101_SE_01	56	4,14	41	6,96	1	5,82	
FOLK_E_00102_SE_01	7	4,14	1	6,28	1	6,93	
FOLK_E_00103_SE_01	62	4,14	25	7,29	6	6,16	
FOLK_E_00104_SE_01	15	3,96	7	6,63	2	5,77	
FOLK_E_00105_SE_01	98	4,11	58	6,57	8	6,52	
