Speech Event	T>10	Av. T	NN>10	Av. NN	ADJ>10	Av. ADJ
GWSS_E_00001_SE_01	217	4,67	83	7,98	60	8,71	
GWSS_E_00002_SE_01	443	4,73	199	8,85	156	9,55	
GWSS_E_00003_SE_01	389	4,95	163	9,10	129	10,13	
GWSS_E_00004_SE_01	65	4,34	27	7,54	24	8,51	
GWSS_E_00005_SE_01	109	4,32	56	8,24	35	8,23	
GWSS_E_00006_SE_01	423	4,61	207	8,03	102	8,20	
GWSS_E_00007_SE_01	596	4,72	246	8,47	215	9,51	
GWSS_E_00008_SE_01	379	5,11	164	8,82	142	10,50	
GWSS_E_00009_SE_01	329	5,17	162	9,26	121	10,20	
GWSS_E_00010_SE_01	350	4,92	188	8,70	103	9,37	
GWSS_E_00011_SE_01	364	5,38	174	9,28	100	9,76	
GWSS_E_00012_SE_01	292	5,14	149	9,40	77	9,50	
GWSS_E_00013_SE_01	376	5,12	138	8,16	108	9,79	
GWSS_E_00014_SE_01	336	5,08	160	8,76	106	9,41	
GWSS_E_00015_SE_01	544	4,65	203	7,82	135	8,48	
GWSS_E_00016_SE_01	524	4,64	229	8,06	165	8,89	
GWSS_E_00017_SE_01	344	4,66	173	8,47	96	8,90	
GWSS_E_00018_SE_01	283	4,74	140	7,93	75	8,73	
GWSS_E_00019_SE_01	326	5,01	146	8,25	79	8,92	
GWSS_E_00020_SE_01	610	5,41	300	9,11	175	9,62	
GWSS_E_00021_SE_01	616	5,51	300	8,76	186	9,78	
GWSS_E_00022_SE_01	454	4,83	221	8,85	88	8,79	
GWSS_E_00023_SE_01	690	5,23	324	8,22	191	9,92	
GWSS_E_00024_SE_01	505	4,95	289	8,91	121	8,92	
GWSS_E_00025_SE_01	566	5,18	307	8,91	124	8,86	
GWSS_E_00026_SE_01	725	5,64	426	10,04	172	9,75	
GWSS_E_00027_SE_01	641	5,53	366	8,98	170	9,81	
GWSS_E_00028_SE_01	579	5,36	293	9,07	170	9,81	
GWSS_E_00029_SE_01	447	4,82	219	8,74	97	8,67	
GWSS_E_00030_SE_01	630	5,37	335	9,60	174	10,03	
GWSS_E_00031_SE_01	724	5,26	391	9,48	203	10,02	
GWSS_E_00032_SE_01	357	4,87	169	8,37	96	8,91	
GWSS_E_00033_SE_01	428	5,02	168	7,70	136	9,17	
GWSS_E_00034_SE_01	384	4,84	178	8,47	92	8,92	
GWSS_E_00035_SE_01	242	5,09	148	9,37	43	8,33	
GWSS_E_00036_SE_01	265	5,24	131	9,16	92	9,54	
GWSS_E_00040_SE_01	227	5,01	129	8,71	51	8,32	
GWSS_E_00041_SE_01	272	4,96	128	7,90	77	9,02	
GWSS_E_00042_SE_01	248	5,17	149	9,57	37	8,63	
GWSS_E_00047_SE_01	97	4,61	43	7,54	20	7,36	
GWSS_E_00050_SE_01	204	5,29	124	9,74	40	8,36	
GWSS_E_00051_SE_01	374	5,07	184	8,49	86	8,90	
GWSS_E_00052_SE_01	308	4,97	146	8,36	82	8,74	
GWSS_E_00053_SE_01	200	4,91	101	8,75	48	8,36	
GWSS_E_00054_SE_01	808	4,97	414	8,75	194	8,85	
GWSS_E_00055_SE_01	313	5,27	160	8,40	92	9,60	
GWSS_E_00056_SE_01	379	4,96	210	8,40	63	8,55	
GWSS_E_00057_SE_01	287	5,15	179	9,21	59	9,18	
GWSS_E_00058_SE_01	419	4,83	207	8,17	89	8,66	
GWSS_E_00059_SE_01	259	4,79	135	7,93	54	8,50	
GWSS_E_00060_SE_01	459	5,06	262	9,09	80	8,79	
GWSS_E_00061_SE_01	562	5,24	276	8,93	145	10,46	
GWSS_E_00062_SE_01	148	4,61	67	7,72	38	8,13	
GWSS_E_00063_SE_01	198	4,75	98	8,02	45	8,57	
GWSS_E_00064_SE_01	313	4,97	153	8,30	112	9,47	
GWSS_E_00065_SE_01	202	4,26	77	7,65	72	8,65	
GWSS_E_00066_SE_01	157	4,36	48	7,37	52	8,57	
GWSS_E_00067_SE_01	129	4,55	48	8,17	52	8,11	
GWSS_E_00069_SE_01	64	4,50	24	7,60	24	8,01	
GWSS_E_00070_SE_01	95	4,23	53	7,48	23	7,54	
GWSS_E_00071_SE_01	80	4,35	29	6,98	21	8,19	
GWSS_E_00072_SE_01	61	4,21	19	7,04	25	8,62	
